sale_id,date,client_id,city,zip_code,product_id,meters,total_amount,status
IN75700,2018-03-06,CL00970,Реутов,136583,P0078,3.0,1125.0,Завершен
IN92023,2018-03-06,CL00825,Королёв,162003,P0058,1.5,562.5,Завершен
IN13862,2018-03-06,CL00906,Люберцы,188705,P0018,1.5,412.5,Завершен
IN39567,2018-03-06,CL00436,Реутов,172070,P0019,2.5,687.5,Завершен
IN61491,2018-03-06,CL01048,Мытищи,179498,P0045,1.0,275.0,Завершен
IN34632,2018-03-07,CL00818,Реутов,182211,P0087,3.0,1125.0,Завершен
IN13433,2018-03-07,CL00607,Подольск,105806,P0043,0.5,137.5,Завершен
IN90864,2018-03-07,CL00757,Королёв,136670,P0002,5.0,1375.0,Завершен
IN90263,2018-03-07,CL00396,Люберцы,120644,P0081,1.5,562.5,Завершен
IN40266,2018-03-07,CL00852,Мытищи,136239,P0023,1.0,275.0,Завершен
IN74217,2018-03-08,CL00264,Реутов,129949,P0083,2.0,750.0,Завершен
IN69971,2018-03-08,CL00465,Королёв,170592,P0076,3.0,1125.0,Завершен
IN15482,2018-03-08,CL00195,Красногорск,192435,P0016,1.0,275.0,Завершен
IN59856,2018-03-08,CL01032,Реутов,159591,P0047,2.5,687.5,Завершен
IN90151,2018-03-08,CL00200,Подольск,134737,P0047,3.0,825.0,Завершен
IN80275,2018-03-08,CL01042,Мытищи,162759,P0049,3.0,825.0,Завершен
IN15047,2018-03-08,CL00604,Реутов,190663,P0030,2.5,687.5,Завершен
IN86735,2018-03-09,CL00989,Мытищи,120152,P0047,0.5,137.5,Завершен
IN61520,2018-03-09,CL00594,Королёв,152198,P0076,3.0,1125.0,Завершен
IN13265,2018-03-09,CL00535,Королёв,191177,P0113,2.0,750.0,Завершен
IN36467,2018-03-09,CL01191,Красногорск,136087,P0069,1.0,375.0,Завершен
IN52477,2018-03-09,CL00038,Люберцы,193872,P0016,2.0,550.0,Отказ
IN31495,2018-03-09,CL00379,Подольск,146077,P0110,3.0,1125.0,Завершен
IN32398,2018-03-10,CL00389,Химки,103396,P0082,2.5,937.5,Завершен
IN96445,2018-03-10,CL00205,Мытищи,190964,P0097,1.5,562.5,Завершен
IN28953,2018-03-10,CL00451,Реутов,190505,P0083,5.0,1875.0,Завершен
IN16725,2018-03-10,CL01116,Реутов,148799,P0066,1.0,375.0,Завершен
IN68491,2018-03-10,CL00218,Люберцы,189889,P0096,2.0,750.0,Завершен
IN25408,2018-03-10,CL00746,Москва,129135,P0011,1.5,412.5,Завершен
IN10463,2018-03-10,CL00045,Москва,172692,P0077,1.0,375.0,Завершен
IN11600,2018-03-10,CL00856,Москва,138745,P0055,2.5,937.5,Завершен
IN75358,2018-03-10,CL01087,Химки,152947,P0014,2.0,550.0,Завершен
IN89689,2018-03-10,CL00258,Королёв,158138,P0108,2.5,937.5,Завершен
IN87183,2018-03-10,CL00426,Химки,120932,P0054,2.0,750.0,Завершен
IN90096,2018-03-11,CL00084,Мытищи,198453,P0024,1.0,275.0,Завершен
IN87983,2018-03-11,CL00519,Подольск,137914,P0034,3.0,825.0,Завершен
IN33254,2018-03-11,CL00024,Химки,109880,P0081,2.5,937.5,Завершен
IN57210,2018-03-11,CL00304,Химки,133550,P0086,2.0,750.0,Завершен
IN49229,2018-03-11,CL00325,Красногорск,185990,P0093,0.5,187.5,Отказ
IN59668,2018-03-11,CL00623,Реутов,192371,P0041,1.5,412.5,Завершен
IN53750,2018-03-12,CL00050,Люберцы,106658,P0017,2.0,550.0,Завершен
IN93558,2018-03-12,CL00450,Мытищи,157807,P0077,1.5,562.5,Завершен
IN36370,2018-03-12,CL00550,Мытищи,101198,P0047,1.0,275.0,Отказ
IN18891,2018-03-12,CL01154,Москва,138393,P0056,3.0,1125.0,Завершен
IN13816,2018-03-13,CL00860,Люберцы,186194,P0011,3.0,825.0,Завершен
IN53321,2018-03-13,CL00233,Химки,183283,P0052,5.0,1875.0,Завершен
IN98142,2018-03-13,CL01030,Королёв,134649,P0089,5.0,1875.0,Завершен
IN14660,2018-03-13,CL01058,Реутов,163192,P0033,2.0,550.0,Завершен
IN30366,2018-03-13,CL00172,Подольск,157132,P0007,3.0,825.0,Завершен
IN80381,2018-03-13,CL00701,Люберцы,195677,P0099,3.0,1125.0,Завершен
IN46760,2018-03-14,CL00280,Мытищи,128197,P0109,0.5,187.5,Завершен
IN59183,2018-03-14,CL01074,Мытищи,161822,P0047,5.0,1375.0,Отказ
IN31753,2018-03-14,CL01049,Королёв,153840,P0095,3.0,1125.0,Завершен
IN34560,2018-03-14,CL00834,Красногорск,167537,P0029,2.5,687.5,Завершен
IN50407,2018-03-14,CL00568,Мытищи,173919,P0007,2.5,687.5,Завершен
IN14145,2018-03-14,CL00228,Реутов,173048,P0094,3.0,1125.0,Завершен
IN75149,2018-03-14,CL00807,Подольск,149996,P0081,1.5,562.5,Завершен
IN49666,2018-03-14,CL00197,Королёв,116547,P0068,1.0,375.0,Завершен
IN32939,2018-03-14,CL01148,Королёв,183342,P0036,1.0,275.0,Завершен
IN14901,2018-03-14,CL01132,Подольск,183962,P0061,0.5,187.5,Завершен
IN22137,2018-03-14,CL00208,Реутов,123600,P0058,5.0,1875.0,Завершен
IN73263,2018-03-14,CL00218,Люберцы,189889,P0011,2.0,550.0,Завершен
IN54579,2018-03-14,CL00107,Подольск,116728,P0117,2.5,937.5,Завершен
IN78632,2018-03-14,CL00233,Химки,183283,P0089,2.0,750.0,Завершен
IN28781,2018-03-14,CL00192,Красногорск,199991,P0067,1.5,562.5,Завершен
IN98538,2018-03-15,CL00649,Красногорск,179988,P0053,0.5,187.5,Завершен
IN17051,2018-03-15,CL00466,Люберцы,180698,P0083,0.5,187.5,Завершен
IN33459,2018-03-15,CL00639,Реутов,154477,P0079,0.5,187.5,Завершен
IN87693,2018-03-15,CL00403,Подольск,184192,P0058,3.0,1125.0,Завершен
IN85324,2018-03-16,CL00944,Королёв,177242,P0009,5.0,1375.0,Завершен
IN63174,2018-03-16,CL00819,Люберцы,195302,P0011,1.0,275.0,Завершен
IN87459,2018-03-17,CL00192,Красногорск,199991,P0025,1.0,275.0,Завершен
IN67062,2018-03-17,CL01045,Подольск,105136,P0118,2.0,750.0,Завершен
IN81372,2018-03-17,CL01014,Реутов,141053,P0076,2.5,937.5,Завершен
IN96849,2018-03-17,CL00571,Красногорск,157290,P0066,3.0,1125.0,Завершен
IN18058,2018-03-18,CL00334,Реутов,123703,P0106,2.0,750.0,Завершен
IN28208,2018-03-18,CL01103,Мытищи,186956,P0025,0.5,137.5,Завершен
IN93379,2018-03-18,CL00772,Королёв,180495,P0115,2.5,937.5,Завершен
IN29231,2018-03-18,CL01122,Королёв,182660,P0010,5.0,1375.0,Отказ
IN10110,2018-03-19,CL00907,Реутов,112451,P0116,2.5,937.5,Завершен
IN57086,2018-03-19,CL01055,Москва,169655,P0008,3.0,825.0,Завершен
IN14087,2018-03-19,CL00240,Красногорск,158287,P0055,0.5,187.5,Завершен
IN87353,2018-03-19,CL00968,Химки,123255,P0118,1.0,375.0,Завершен
IN60173,2018-03-19,CL00827,Москва,143449,P0066,2.0,750.0,Завершен
IN81449,2018-03-19,CL00245,Москва,131925,P0065,2.0,750.0,Завершен
IN72242,2018-03-19,CL00257,Королёв,155872,P0039,1.0,275.0,Завершен
IN60409,2018-03-19,CL00164,Москва,140319,P0013,1.0,275.0,Завершен
IN64687,2018-03-19,CL01120,Подольск,196802,P0043,5.0,1375.0,Завершен
IN97826,2018-03-19,CL00783,Москва,141709,P0027,1.0,275.0,Завершен
IN19403,2018-03-19,CL00883,Люберцы,168195,P0023,1.0,275.0,Завершен
IN73792,2018-03-19,CL00983,Мытищи,170809,P0039,3.0,825.0,Отказ
IN27796,2018-03-19,CL00101,Королёв,127110,P0065,3.0,1125.0,Завершен
IN78597,2018-03-20,CL01092,Химки,160142,P0038,2.0,550.0,Завершен
IN71925,2018-03-20,CL00395,Красногорск,193000,P0081,2.5,937.5,Отказ
IN97650,2018-03-20,CL00394,Подольск,158341,P0058,3.0,1125.0,Завершен
IN80673,2018-03-20,CL00585,Подольск,122216,P0067,0.5,187.5,Завершен
IN90352,2018-03-20,CL00557,Красногорск,152022,P0059,5.0,1875.0,Завершен
IN91830,2018-03-21,CL00555,Подольск,112624,P0033,3.0,825.0,Завершен
IN20814,2018-03-21,CL00213,Подольск,145293,P0099,0.5,187.5,Завершен
IN46418,2018-03-21,CL00017,Химки,194811,P0085,1.0,375.0,Завершен
IN46827,2018-03-21,CL00003,Мытищи,139117,P0106,1.5,562.5,Завершен
IN11861,2018-03-21,CL00629,Красногорск,160012,P0088,1.5,562.5,Завершен
IN32886,2018-03-21,CL00337,Химки,140562,P0088,3.0,1125.0,Завершен
IN96396,2018-03-21,CL00262,Королёв,156387,P0075,2.5,937.5,Завершен
IN62264,2018-03-22,CL00321,Реутов,188984,P0054,0.5,187.5,Завершен
IN79798,2018-03-22,CL00292,Реутов,130161,P0079,2.0,750.0,Завершен
IN61127,2018-03-22,CL00559,Химки,110566,P0054,1.0,375.0,Завершен
IN79526,2018-03-22,CL00201,Реутов,143065,P0116,2.0,750.0,Завершен
IN47852,2018-03-22,CL00682,Подольск,194690,P0077,5.0,1875.0,Завершен
IN98931,2018-03-22,CL00446,Красногорск,154596,P0073,5.0,1875.0,Завершен
IN99505,2018-03-22,CL01141,Москва,168679,P0094,1.5,562.5,Завершен
IN79637,2018-03-22,CL00044,Красногорск,157433,P0016,0.5,137.5,Отказ
IN66595,2018-03-22,CL00625,Мытищи,170371,P0120,3.0,1125.0,Завершен
IN27027,2018-03-23,CL01077,Реутов,168289,P0031,0.5,137.5,Завершен
IN94922,2018-03-23,CL01176,Красногорск,195451,P0072,2.0,750.0,Завершен
IN34217,2018-03-23,CL00691,Королёв,131599,P0107,2.5,937.5,Завершен
IN43205,2018-03-23,CL00522,Реутов,107989,P0013,0.5,137.5,Завершен
IN19924,2018-03-23,CL00595,Люберцы,182955,P0008,1.5,412.5,Завершен
IN46226,2018-03-23,CL00124,Мытищи,144725,P0089,3.0,1125.0,Завершен
IN97500,2018-03-23,CL01053,Мытищи,168512,P0046,5.0,1375.0,Завершен
IN43729,2018-03-23,CL01108,Москва,155466,P0081,5.0,1875.0,Завершен
IN75234,2018-03-24,CL00199,Королёв,118894,P0012,5.0,1375.0,Завершен
IN10113,2018-03-24,CL00117,Химки,133586,P0046,1.0,275.0,Завершен
IN44922,2018-03-24,CL00798,Химки,153645,P0070,0.5,187.5,Завершен
IN61292,2018-03-24,CL01163,Химки,119942,P0006,1.0,275.0,Завершен
IN74314,2018-03-24,CL00434,Реутов,152505,P0120,2.5,937.5,Отказ
IN19188,2018-03-24,CL00901,Мытищи,187690,P0011,2.0,550.0,Завершен
IN92941,2018-03-25,CL00046,Мытищи,117601,P0006,2.0,550.0,Отказ
IN28342,2018-03-25,CL01139,Мытищи,152041,P0078,2.0,750.0,Завершен
IN87718,2018-03-25,CL00686,Реутов,118327,P0052,0.5,187.5,Завершен
IN18256,2018-03-25,CL00351,Подольск,161487,P0025,1.0,275.0,Завершен
IN23937,2018-03-26,CL00800,Реутов,164349,P0111,0.5,187.5,Завершен
IN90691,2018-03-26,CL00496,Королёв,147419,P0027,0.5,137.5,Завершен
IN36560,2018-03-26,CL00558,Красногорск,160161,P0058,1.0,375.0,Отказ
IN98918,2018-03-26,CL01166,Химки,101930,P0017,2.0,550.0,Завершен
IN49478,2018-03-27,CL01132,Подольск,183962,P0107,0.5,187.5,Завершен
IN83100,2018-03-27,CL00350,Подольск,137601,P0025,1.5,412.5,Завершен
IN79494,2018-03-27,CL01143,Реутов,132426,P0020,1.0,275.0,Завершен
IN80742,2018-03-27,CL00950,Люберцы,144939,P0028,0.5,137.5,Завершен
IN92111,2018-03-27,CL00534,Москва,124906,P0032,2.5,687.5,Завершен
IN16955,2018-03-27,CL00707,Мытищи,103847,P0005,3.0,825.0,Завершен
IN29558,2018-03-27,CL01067,Реутов,154162,P0046,1.0,275.0,Завершен
IN73492,2018-03-28,CL00017,Химки,194811,P0044,0.5,137.5,Завершен
IN28997,2018-03-28,CL00968,Химки,123255,P0021,0.5,137.5,Завершен
IN69636,2018-03-28,CL00835,Мытищи,166426,P0056,1.0,375.0,Завершен
IN27878,2018-03-28,CL00535,Королёв,191177,P0117,1.0,375.0,Завершен
IN92840,2018-03-28,CL01192,Мытищи,158901,P0023,2.0,550.0,Завершен
IN36504,2018-03-28,CL00165,Королёв,190266,P0004,1.5,412.5,Завершен
IN84536,2018-03-28,CL01074,Мытищи,161822,P0078,1.5,562.5,Завершен
IN24563,2018-03-28,CL00191,Королёв,158529,P0041,0.5,137.5,Завершен
IN64817,2018-03-28,CL00082,Королёв,196463,P0073,5.0,1875.0,Завершен
IN38816,2018-03-28,CL00099,Подольск,150205,P0103,1.0,375.0,Завершен
IN87564,2018-03-29,CL00601,Королёв,139692,P0049,1.0,275.0,Завершен
IN10665,2018-03-29,CL01176,Красногорск,195451,P0026,1.0,275.0,Завершен
IN15250,2018-03-29,CL01096,Люберцы,112190,P0041,2.0,550.0,Завершен
IN76088,2018-03-29,CL01018,Королёв,123038,P0049,2.0,550.0,Завершен
IN61684,2018-03-29,CL00519,Подольск,137914,P0013,0.5,137.5,Завершен
IN22844,2018-03-29,CL00061,Красногорск,153964,P0071,2.0,750.0,Завершен
IN20890,2018-03-29,CL00507,Реутов,150132,P0116,2.0,750.0,Завершен
IN63296,2018-03-29,CL00303,Красногорск,184599,P0006,2.5,687.5,Завершен
IN48769,2018-03-29,CL00904,Королёв,138800,P0119,1.0,375.0,Завершен
IN21892,2018-03-29,CL00041,Москва,173792,P0071,1.0,375.0,Завершен
IN49955,2018-03-29,CL01057,Реутов,148546,P0056,0.5,187.5,Завершен
IN84760,2018-03-29,CL00535,Королёв,191177,P0090,1.0,375.0,Завершен
IN98428,2018-03-30,CL00391,Люберцы,192279,P0007,2.5,687.5,Завершен
IN24544,2018-03-30,CL00438,Красногорск,144444,P0104,1.5,562.5,Завершен
IN91151,2018-03-30,CL00882,Подольск,105992,P0104,2.0,750.0,Завершен
IN32972,2018-03-30,CL01129,Подольск,137304,P0045,0.5,137.5,Завершен
IN18782,2018-03-30,CL00984,Москва,149146,P0097,3.0,1125.0,Завершен
IN36832,2018-03-30,CL01021,Мытищи,166476,P0029,2.5,687.5,Завершен
IN48307,2018-03-31,CL00290,Люберцы,115726,P0072,3.0,1125.0,Завершен
IN98251,2018-03-31,CL00174,Красногорск,121079,P0025,2.0,550.0,Завершен
IN18601,2018-03-31,CL00755,Люберцы,119481,P0011,3.0,825.0,Завершен
IN70014,2018-03-31,CL00816,Подольск,121910,P0017,1.0,275.0,Завершен
IN33437,2018-03-31,CL00955,Красногорск,199716,P0055,0.5,187.5,Отказ
IN20085,2018-03-31,CL00744,Москва,159270,P0036,1.5,412.5,Завершен
IN54930,2018-04-01,CL00807,Подольск,149996,P0022,1.5,412.5,Завершен
IN52769,2018-04-01,CL00704,Подольск,192785,P0035,3.0,825.0,Завершен
IN79489,2018-04-01,CL00742,Мытищи,146627,P0047,2.0,550.0,Завершен
IN70031,2018-04-01,CL00359,Подольск,111221,P0092,5.0,1875.0,Завершен
IN50172,2018-04-01,CL00428,Королёв,140441,P0016,1.5,412.5,Завершен
IN39724,2018-04-01,CL00088,Реутов,131979,P0088,1.0,375.0,Завершен
IN47767,2018-04-01,CL00749,Мытищи,184670,P0011,2.0,550.0,Завершен
IN29443,2018-04-01,CL00933,Химки,159796,P0085,5.0,1875.0,Завершен
IN31805,2018-04-01,CL00893,Подольск,189881,P0080,1.5,562.5,Завершен
IN80165,2018-04-01,CL01085,Мытищи,195176,P0056,2.5,937.5,Завершен
IN32984,2018-04-01,CL00286,Химки,114918,P0086,1.5,562.5,Завершен
IN72781,2018-04-02,CL01061,Мытищи,171267,P0064,1.5,562.5,Завершен
IN82215,2018-04-02,CL01048,Мытищи,179498,P0037,0.5,137.5,Завершен
IN62642,2018-04-02,CL00116,Подольск,162070,P0107,0.5,187.5,Завершен
IN68454,2018-04-02,CL00342,Мытищи,167621,P0120,2.5,937.5,Завершен
IN17213,2018-04-02,CL00512,Реутов,132441,P0082,1.5,562.5,Отказ
IN86471,2018-04-02,CL00605,Москва,147124,P0115,2.5,937.5,Завершен
IN46428,2018-04-02,CL00240,Красногорск,158287,P0030,2.5,687.5,Завершен
IN28293,2018-04-03,CL01114,Люберцы,180358,P0108,3.0,1125.0,Завершен
IN21282,2018-04-03,CL00232,Химки,181205,P0097,5.0,1875.0,Завершен
IN72208,2018-04-03,CL01049,Королёв,153840,P0097,1.0,375.0,Завершен
IN53963,2018-04-03,CL00069,Москва,134237,P0112,5.0,1875.0,Завершен
IN87421,2018-04-03,CL01105,Королёв,141342,P0053,0.5,187.5,Завершен
IN10867,2018-04-03,CL00211,Королёв,160236,P0021,5.0,1375.0,Завершен
IN45825,2018-04-03,CL00754,Красногорск,124530,P0114,2.0,750.0,Завершен
IN26276,2018-04-04,CL00333,Красногорск,181006,P0089,5.0,1875.0,Завершен
IN47707,2018-04-04,CL01125,Химки,162460,P0038,3.0,825.0,Завершен
IN94513,2018-04-04,CL00270,Подольск,176869,P0085,2.0,750.0,Завершен
IN46335,2018-04-04,CL00131,Красногорск,142600,P0102,1.0,375.0,Отказ
IN18745,2018-04-04,CL00606,Мытищи,186193,P0004,2.0,550.0,Завершен
IN86161,2018-04-04,CL00356,Мытищи,165513,P0005,2.5,687.5,Завершен
IN43804,2018-04-04,CL00159,Подольск,159048,P0029,2.0,550.0,Завершен
IN49462,2018-04-05,CL00377,Красногорск,142981,P0113,5.0,1875.0,Завершен
IN57516,2018-04-05,CL00374,Подольск,165211,P0096,1.5,562.5,Завершен
IN56088,2018-04-05,CL00616,Красногорск,105856,P0042,0.5,137.5,Завершен
IN27950,2018-04-05,CL01188,Красногорск,132859,P0119,5.0,1875.0,Завершен
IN73556,2018-04-05,CL00866,Королёв,183151,P0076,2.5,937.5,Завершен
IN31368,2018-04-05,CL00777,Мытищи,142284,P0117,2.0,750.0,Завершен
IN12277,2018-04-06,CL00103,Реутов,146105,P0040,0.5,137.5,Завершен
IN57522,2018-04-06,CL00753,Москва,155923,P0086,2.0,750.0,Завершен
IN88335,2018-04-06,CL01020,Люберцы,182132,P0099,1.0,375.0,Завершен
IN73472,2018-04-07,CL00879,Москва,182141,P0031,0.5,137.5,Отказ
IN35736,2018-04-07,CL00238,Подольск,185841,P0078,5.0,1875.0,Завершен
IN96479,2018-04-07,CL00906,Люберцы,188705,P0081,0.5,187.5,Отказ
IN71483,2018-04-07,CL00670,Люберцы,147242,P0045,2.5,687.5,Завершен
IN15672,2018-04-07,CL01119,Химки,149923,P0026,0.5,137.5,Завершен
IN11346,2018-04-07,CL00427,Красногорск,120885,P0081,0.5,187.5,Завершен
IN18957,2018-04-08,CL00366,Королёв,117675,P0103,1.0,375.0,Завершен
IN11832,2018-04-08,CL01014,Реутов,141053,P0031,0.5,137.5,Завершен
IN35106,2018-04-08,CL00674,Москва,110215,P0090,2.5,937.5,Завершен
IN80402,2018-04-08,CL00353,Химки,171932,P0068,1.5,562.5,Завершен
IN15322,2018-04-09,CL00617,Москва,184930,P0087,3.0,1125.0,Завершен
IN25167,2018-04-09,CL00191,Королёв,158529,P0058,0.5,187.5,Завершен
IN88694,2018-04-09,CL00790,Подольск,164629,P0089,2.0,750.0,Завершен
IN68190,2018-04-09,CL01134,Мытищи,145039,P0088,3.0,1125.0,Завершен
IN48088,2018-04-09,CL00213,Подольск,145293,P0015,1.0,275.0,Завершен
IN19123,2018-04-09,CL00591,Москва,143544,P0116,5.0,1875.0,Завершен
IN99015,2018-04-09,CL00045,Москва,172692,P0003,5.0,1375.0,Завершен
IN98363,2018-04-09,CL00357,Химки,138177,P0007,1.5,412.5,Завершен
IN61952,2018-04-09,CL00227,Королёв,118449,P0109,2.0,750.0,Завершен
IN98672,2018-04-09,CL00077,Люберцы,125144,P0096,2.0,750.0,Завершен
IN61748,2018-04-09,CL00778,Подольск,157261,P0069,0.5,187.5,Завершен
IN23332,2018-04-09,CL00116,Подольск,162070,P0016,2.0,550.0,Завершен
IN73508,2018-04-10,CL00681,Подольск,173831,P0019,2.5,687.5,Завершен
IN69589,2018-04-10,CL00186,Люберцы,135838,P0095,2.5,937.5,Завершен
IN75260,2018-04-11,CL01070,Реутов,186413,P0056,1.0,375.0,Завершен
IN81098,2018-04-11,CL00110,Подольск,149689,P0001,2.0,550.0,Завершен
IN80848,2018-04-11,CL00070,Люберцы,178193,P0076,1.5,562.5,Завершен
IN14141,2018-04-11,CL00779,Красногорск,173659,P0017,2.5,687.5,Отказ
IN25615,2018-04-11,CL01004,Мытищи,198080,P0031,2.0,550.0,Завершен
IN59327,2018-04-11,CL00482,Подольск,183719,P0034,2.0,550.0,Завершен
IN14306,2018-04-11,CL00033,Королёв,169615,P0017,2.0,550.0,Завершен
IN49720,2018-04-11,CL00940,Мытищи,125679,P0014,1.0,275.0,Завершен
IN66450,2018-04-11,CL00137,Москва,129045,P0012,3.0,825.0,Завершен
IN86541,2018-04-12,CL00224,Реутов,117322,P0098,1.5,562.5,Завершен
IN91940,2018-04-12,CL00502,Москва,188181,P0026,0.5,137.5,Завершен
IN66118,2018-04-12,CL00330,Красногорск,163736,P0010,1.5,412.5,Завершен
IN52260,2018-04-13,CL00934,Красногорск,129218,P0014,2.0,550.0,Завершен
IN74010,2018-04-13,CL00212,Москва,160981,P0013,2.5,687.5,Отказ
IN36988,2018-04-13,CL00948,Реутов,179450,P0039,0.5,137.5,Завершен
IN97475,2018-04-13,CL00536,Реутов,172362,P0041,1.5,412.5,Завершен
IN49258,2018-04-13,CL00497,Мытищи,171781,P0015,1.5,412.5,Завершен
IN81770,2018-04-14,CL01127,Красногорск,133779,P0028,2.0,550.0,Завершен
IN92292,2018-04-14,CL00961,Люберцы,170932,P0107,1.0,375.0,Завершен
IN34450,2018-04-14,CL00032,Москва,107492,P0047,3.0,825.0,Завершен
IN96613,2018-04-14,CL00831,Химки,197481,P0014,2.5,687.5,Завершен
IN71249,2018-04-14,CL00668,Королёв,156072,P0072,5.0,1875.0,Завершен
IN79824,2018-04-14,CL00334,Реутов,123703,P0030,1.5,412.5,Завершен
IN67164,2018-04-15,CL00531,Москва,188299,P0026,2.0,550.0,Завершен
IN14850,2018-04-15,CL00700,Подольск,151213,P0117,2.0,750.0,Завершен
IN27882,2018-04-15,CL00301,Химки,122037,P0005,1.0,275.0,Завершен
IN46408,2018-04-15,CL00583,Красногорск,101617,P0008,0.5,137.5,Завершен
IN86076,2018-04-16,CL00904,Королёв,138800,P0094,0.5,187.5,Завершен
IN43004,2018-04-16,CL01190,Королёв,124461,P0098,5.0,1875.0,Завершен
IN41205,2018-04-16,CL00095,Королёв,132406,P0064,2.0,750.0,Завершен
IN51079,2018-04-16,CL00562,Мытищи,156873,P0053,2.5,937.5,Завершен
IN61111,2018-04-16,CL00010,Химки,198994,P0088,1.5,562.5,Завершен
IN40924,2018-04-16,CL00446,Красногорск,154596,P0102,5.0,1875.0,Завершен
IN24000,2018-04-16,CL00002,Люберцы,199871,P0085,2.0,750.0,Завершен
IN80111,2018-04-17,CL00170,Люберцы,199125,P0059,5.0,1875.0,Завершен
IN67986,2018-04-17,CL01181,Реутов,101170,P0078,5.0,1875.0,Завершен
IN61508,2018-04-17,CL00751,Москва,106637,P0102,2.0,750.0,Отказ
IN40862,2018-04-17,CL00584,Реутов,111101,P0085,1.5,562.5,Завершен
IN31001,2018-04-17,CL00148,Мытищи,175243,P0107,1.5,562.5,Завершен
IN94466,2018-04-17,CL00007,Мытищи,109071,P0078,2.0,750.0,Завершен
IN45918,2018-04-17,CL01118,Химки,194478,P0051,2.0,750.0,Завершен
IN74447,2018-04-17,CL00554,Люберцы,191469,P0043,5.0,1375.0,Отказ
IN53610,2018-04-17,CL00754,Красногорск,124530,P0039,2.0,550.0,Завершен
IN23159,2018-04-17,CL00612,Люберцы,111253,P0063,3.0,1125.0,Завершен
