client_id,city,region,zip_code,registration_channel
CL00066,Москва,Московская область,152227,INTERNET
CL00067,Люберцы,Московская область,136585,INTERNET
CL00068,Реутов,Московская область,170282,INTERNET
CL00069,Москва,Москва и МО,134237,VK
CL00070,Люберцы,Москва и МО,178193,INTERNET
CL00071,Красногорск,Московская область,141114,INTERNET
CL00072,Мытищи,Москва и МО,175574,VK
CL00073,Люберцы,Москва и МО,157154,VK
CL00074,Химки,Москва и МО,109171,INTERNET
CL00075,Красногорск,Московская область,116334,INTERNET
CL00076,Люберцы,Московская область,142753,INTERNET
CL00077,Люберцы,Москва и МО,125144,INTERNET
CL00078,Реутов,Московская область,122810,INTERNET
CL00079,Реутов,Москва и МО,100053,INTERNET
CL00080,Люберцы,Москва и МО,176019,INTERNET
CL00081,Королёв,Москва и МО,188555,VK
CL00082,Королёв,Московская область,196463,VK
CL00083,Мытищи,Москва и МО,187012,INTERNET
CL00084,Мытищи,Московская область,198453,VK
CL00085,Люберцы,Москва и МО,126100,VK
CL00086,Москва,Москва и МО,162277,VK
CL00087,Королёв,Москва и МО,182544,VK
CL00088,Реутов,Москва и МО,131979,VK
CL00089,Москва,Московская область,113970,INTERNET
CL00090,Химки,Москва и МО,191214,INTERNET
CL00091,Москва,Москва и МО,115906,INTERNET
CL00092,Подольск,Московская область,187500,INTERNET
CL00093,Королёв,Московская область,194276,INTERNET
CL00094,Королёв,Московская область,197472,INTERNET
CL00095,Королёв,Москва и МО,132406,INTERNET
CL00096,Королёв,Московская область,135992,INTERNET
CL00097,Мытищи,Московская область,130735,INTERNET
CL00098,Красногорск,Москва и МО,170798,VK
CL00099,Подольск,Москва и МО,150205,VK
CL00100,Химки,Москва и МО,153424,INTERNET
CL00101,Королёв,Москва и МО,127110,INTERNET
CL00102,Реутов,Московская область,176556,VK
CL00103,Реутов,Москва и МО,146105,INTERNET
CL00104,Реутов,Московская область,154921,VK
CL00105,Королёв,Москва и МО,157125,INTERNET
CL00106,Москва,Москва и МО,187670,INTERNET
CL00107,Подольск,Московская область,116728,VK
CL00108,Реутов,Москва и МО,186900,VK
CL00109,Мытищи,Московская область,117786,INTERNET
CL00110,Подольск,Москва и МО,149689,INTERNET
CL00111,Химки,Москва и МО,144236,INTERNET
CL00112,Люберцы,Московская область,155255,INTERNET
CL00113,Мытищи,Москва и МО,198176,VK
CL00114,Красногорск,Москва и МО,108993,VK
CL00115,Москва,Московская область,126130,VK
CL00116,Подольск,Москва и МО,162070,VK
CL00117,Химки,Москва и МО,133586,INTERNET
CL00118,Подольск,Московская область,198032,VK
CL00119,Подольск,Московская область,114168,VK
CL00120,Люберцы,Москва и МО,149192,INTERNET
CL00121,Химки,Москва и МО,190520,VK
CL00122,Мытищи,Московская область,139529,VK
CL00123,Москва,Москва и МО,156148,INTERNET
CL00124,Мытищи,Москва и МО,144725,VK
CL00125,Реутов,Московская область,113833,INTERNET
CL00126,Красногорск,Московская область,160258,VK
CL00127,Реутов,Москва и МО,168386,INTERNET
CL00128,Королёв,Москва и МО,195817,INTERNET
CL00129,Красногорск,Московская область,111359,INTERNET
CL00130,Королёв,Москва и МО,160910,INTERNET
CL00131,Красногорск,Москва и МО,142600,VK
CL00132,Королёв,Москва и МО,133862,INTERNET
CL00133,Люберцы,Московская область,191905,INTERNET
CL00134,Москва,Москва и МО,125042,VK
CL00135,Химки,Московская область,164038,VK
CL00136,Королёв,Московская область,164332,INTERNET
CL00137,Москва,Москва и МО,129045,INTERNET
CL00138,Химки,Москва и МО,176225,INTERNET
CL00139,Королёв,Москва и МО,145056,INTERNET
CL00140,Красногорск,Москва и МО,159473,INTERNET
CL00141,Люберцы,Москва и МО,115814,VK
CL00142,Красногорск,Москва и МО,170236,VK
CL00143,Химки,Москва и МО,163464,INTERNET
CL00144,Люберцы,Московская область,125443,INTERNET
CL00145,Химки,Москва и МО,139618,VK
CL00146,Подольск,Москва и МО,107146,INTERNET
CL00147,Подольск,Московская область,198669,INTERNET
CL00148,Мытищи,Московская область,175243,INTERNET
CL00149,Королёв,Москва и МО,144657,VK
CL00150,Москва,Москва и МО,162616,VK
CL00151,Мытищи,Москва и МО,109710,VK
CL00152,Подольск,Москва и МО,173772,INTERNET
CL00153,Мытищи,Московская область,115525,INTERNET
CL00154,Химки,Московская область,149856,INTERNET
CL00155,Королёв,Москва и МО,177139,INTERNET
CL00156,Люберцы,Москва и МО,107894,VK
CL00157,Химки,Московская область,134687,VK
CL00158,Подольск,Москва и МО,172350,VK
CL00159,Подольск,Москва и МО,159048,INTERNET
CL00160,Люберцы,Москва и МО,137762,INTERNET
CL00161,Королёв,Москва и МО,130595,INTERNET
CL00162,Химки,Москва и МО,171376,VK
CL00163,Подольск,Московская область,118643,VK
CL00164,Москва,Москва и МО,140319,INTERNET
CL00165,Королёв,Москва и МО,190266,INTERNET
CL00166,Реутов,Московская область,165597,INTERNET
CL00167,Королёв,Москва и МО,105224,INTERNET
CL00168,Красногорск,Московская область,103390,VK
CL00169,Химки,Московская область,175392,VK
CL00170,Люберцы,Москва и МО,199125,VK
CL00171,Королёв,Москва и МО,157963,INTERNET
CL00172,Подольск,Московская область,157132,INTERNET
CL00173,Мытищи,Москва и МО,153523,INTERNET
CL00174,Красногорск,Московская область,121079,INTERNET
CL00175,Реутов,Московская область,137777,INTERNET
CL00176,Москва,Москва и МО,141224,INTERNET
CL00177,Красногорск,Москва и МО,152976,VK
CL00178,Королёв,Москва и МО,124586,INTERNET
CL00179,Королёв,Московская область,199613,VK
CL00180,Химки,Москва и МО,117172,INTERNET
CL00181,Королёв,Московская область,163532,VK
CL00182,Москва,Московская область,179806,VK
CL00183,Подольск,Москва и МО,101792,INTERNET
CL00184,Мытищи,Москва и МО,114871,INTERNET
CL00185,Мытищи,Московская область,120181,INTERNET
CL00186,Люберцы,Москва и МО,135838,INTERNET
CL00187,Королёв,Московская область,131946,INTERNET
CL00188,Подольск,Москва и МО,178561,VK
CL00189,Мытищи,Москва и МО,154387,INTERNET
CL00190,Люберцы,Московская область,137072,INTERNET
CL00191,Королёв,Московская область,158529,INTERNET
CL00192,Красногорск,Москва и МО,199991,INTERNET
CL00193,Королёв,Московская область,124727,VK
CL00194,Реутов,Москва и МО,153841,VK
CL00195,Красногорск,Московская область,192435,INTERNET
CL00196,Реутов,Московская область,185461,VK
CL00197,Королёв,Московская область,116547,INTERNET
CL00198,Мытищи,Московская область,157711,VK
CL00199,Королёв,Москва и МО,118894,INTERNET
CL00200,Подольск,Москва и МО,134737,INTERNET
CL00201,Реутов,Московская область,143065,INTERNET
CL00202,Красногорск,Московская область,199536,INTERNET
CL00203,Москва,Московская область,130771,INTERNET
CL00204,Химки,Московская область,156881,VK
CL00205,Мытищи,Москва и МО,190964,INTERNET
CL00206,Москва,Москва и МО,107355,INTERNET
CL00207,Красногорск,Москва и МО,119080,VK
CL00208,Реутов,Москва и МО,123600,VK
CL00209,Подольск,Москва и МО,150140,VK
CL00210,Королёв,Московская область,118758,VK
CL00211,Королёв,Московская область,160236,INTERNET
CL00212,Москва,Московская область,160981,INTERNET
CL00213,Подольск,Москва и МО,145293,INTERNET
CL00214,Реутов,Московская область,159878,INTERNET
CL00215,Химки,Московская область,163335,VK
CL00216,Химки,Москва и МО,147049,INTERNET
CL00217,Люберцы,Москва и МО,186275,INTERNET
CL00218,Люберцы,Москва и МО,189889,VK
CL00219,Королёв,Московская область,137512,VK
CL00220,Красногорск,Москва и МО,124920,INTERNET
CL00221,Подольск,Московская область,182242,VK
CL00222,Люберцы,Московская область,104373,INTERNET
CL00223,Подольск,Москва и МО,138680,INTERNET
CL00224,Реутов,Москва и МО,117322,INTERNET
CL00225,Люберцы,Московская область,133681,INTERNET
CL00226,Люберцы,Московская область,144396,VK
CL00227,Королёв,Московская область,118449,VK
CL00228,Реутов,Московская область,173048,INTERNET
CL00229,Мытищи,Московская область,101824,INTERNET
CL00230,Мытищи,Москва и МО,188188,INTERNET
CL00231,Реутов,Московская область,148689,VK
CL00232,Химки,Москва и МО,181205,INTERNET
CL00233,Химки,Московская область,183283,INTERNET
CL00234,Люберцы,Московская область,115292,VK
CL00235,Москва,Московская область,139893,INTERNET
CL00236,Мытищи,Москва и МО,170457,VK
CL00237,Реутов,Москва и МО,187881,INTERNET
CL00238,Подольск,Московская область,185841,VK
CL00239,Королёв,Московская область,136666,VK
CL00240,Красногорск,Москва и МО,158287,VK
CL00241,Красногорск,Москва и МО,189873,INTERNET
CL00242,Красногорск,Москва и МО,136160,VK
CL00243,Мытищи,Московская область,159600,VK
CL00244,Химки,Московская область,178269,VK
CL00245,Москва,Московская область,131925,VK
CL00246,Химки,Москва и МО,172641,VK
CL00247,Химки,Московская область,130539,INTERNET
CL00248,Подольск,Московская область,178116,VK
CL00249,Люберцы,Московская область,118964,VK
CL00250,Люберцы,Московская область,114408,VK
CL00251,Подольск,Москва и МО,131186,INTERNET
CL00252,Москва,Москва и МО,106868,VK
CL00253,Реутов,Москва и МО,197735,VK
CL00254,Королёв,Москва и МО,147453,VK
CL00255,Королёв,Москва и МО,180623,VK
CL00256,Люберцы,Москва и МО,104082,VK
CL00257,Королёв,Московская область,155872,VK
CL00258,Королёв,Московская область,158138,VK
CL00259,Мытищи,Москва и МО,119442,VK
CL00260,Подольск,Москва и МО,182978,INTERNET
CL00261,Реутов,Московская область,169541,INTERNET
CL00262,Королёв,Москва и МО,156387,VK
CL00263,Мытищи,Московская область,185316,VK
CL00264,Реутов,Москва и МО,129949,INTERNET
CL00265,Красногорск,Московская область,152262,INTERNET
CL00266,Мытищи,Москва и МО,140963,INTERNET
CL00267,Красногорск,Московская область,190023,INTERNET
CL00268,Мытищи,Москва и МО,111188,VK
CL00269,Реутов,Москва и МО,196835,INTERNET
CL00270,Подольск,Москва и МО,176869,INTERNET
CL00271,Мытищи,Москва и МО,187207,INTERNET
CL00272,Москва,Московская область,178696,INTERNET
CL00273,Красногорск,Москва и МО,166507,VK
CL00274,Подольск,Московская область,129392,VK
CL00275,Красногорск,Московская область,148176,VK
CL00276,Люберцы,Москва и МО,156244,VK
CL00277,Люберцы,Москва и МО,135818,INTERNET
CL00278,Красногорск,Москва и МО,123777,VK
CL00279,Реутов,Москва и МО,197120,VK
CL00280,Мытищи,Московская область,128197,INTERNET
CL00281,Реутов,Москва и МО,120631,INTERNET
CL00282,Люберцы,Московская область,174395,VK
CL00283,Москва,Москва и МО,198885,VK
CL00284,Мытищи,Москва и МО,186761,INTERNET
CL00285,Королёв,Московская область,154287,INTERNET
CL00286,Химки,Московская область,114918,INTERNET
CL00287,Реутов,Москва и МО,188895,INTERNET
CL00288,Люберцы,Москва и МО,151807,VK
CL00289,Москва,Москва и МО,127686,VK
CL00290,Люберцы,Москва и МО,115726,VK
CL00291,Королёв,Московская область,123028,VK
CL00292,Реутов,Москва и МО,130161,INTERNET
CL00293,Мытищи,Москва и МО,197260,VK
CL00294,Реутов,Москва и МО,110205,INTERNET
CL00295,Реутов,Москва и МО,192995,INTERNET
CL00296,Люберцы,Москва и МО,102733,INTERNET
CL00297,Подольск,Московская область,181018,INTERNET
CL00298,Красногорск,Москва и МО,113875,VK
CL00299,Реутов,Москва и МО,168676,VK
CL00300,Реутов,Московская область,197754,INTERNET
CL00301,Химки,Москва и МО,122037,VK
CL00302,Мытищи,Москва и МО,125415,INTERNET
CL00303,Красногорск,Московская область,184599,VK
CL00304,Химки,Москва и МО,133550,VK
CL00305,Подольск,Московская область,199642,VK
CL00306,Подольск,Московская область,182306,INTERNET
CL00307,Королёв,Московская область,199598,INTERNET
CL00308,Красногорск,Московская область,182210,INTERNET
CL00309,Подольск,Москва и МО,161462,INTERNET
CL00310,Люберцы,Московская область,177518,VK
CL00311,Красногорск,Москва и МО,140685,INTERNET
CL00312,Королёв,Москва и МО,148331,INTERNET
CL00313,Мытищи,Московская область,111835,INTERNET
CL00314,Королёв,Москва и МО,196851,VK
CL00315,Королёв,Московская область,174928,VK
CL00316,Красногорск,Московская область,165715,VK
CL00317,Москва,Москва и МО,145015,VK
CL00318,Подольск,Москва и МО,192749,INTERNET
CL00319,Королёв,Москва и МО,179928,VK
CL00320,Красногорск,Москва и МО,137079,INTERNET
CL00321,Реутов,Московская область,188984,VK
CL00322,Красногорск,Москва и МО,112387,INTERNET
CL00323,Люберцы,Москва и МО,186057,VK
CL00324,Красногорск,Москва и МО,186980,VK
CL00325,Красногорск,Москва и МО,185990,INTERNET
CL00326,Подольск,Москва и МО,111104,INTERNET
CL00327,Реутов,Московская область,143054,VK
CL00328,Мытищи,Московская область,155496,INTERNET
CL00329,Москва,Москва и МО,123627,VK
CL00330,Красногорск,Московская область,163736,VK
CL00331,Химки,Московская область,120308,VK
CL00332,Люберцы,Московская область,113256,VK
CL00333,Красногорск,Московская область,181006,VK
CL00334,Реутов,Москва и МО,123703,VK
CL00335,Королёв,Москва и МО,147749,VK
CL00336,Королёв,Московская область,198617,INTERNET
CL00337,Химки,Москва и МО,140562,INTERNET
CL00338,Химки,Москва и МО,174766,INTERNET
CL00339,Королёв,Московская область,150052,INTERNET
CL00340,Подольск,Московская область,179254,VK
CL00341,Люберцы,Москва и МО,162991,INTERNET
CL00342,Мытищи,Московская область,167621,VK
CL00343,Люберцы,Москва и МО,121012,INTERNET
CL00344,Королёв,Московская область,119313,INTERNET
CL00345,Мытищи,Московская область,129102,INTERNET
CL00346,Красногорск,Московская область,154381,VK
CL00347,Реутов,Москва и МО,130903,INTERNET
CL00348,Мытищи,Москва и МО,103694,INTERNET
CL00349,Мытищи,Московская область,185191,INTERNET
CL00350,Подольск,Москва и МО,137601,INTERNET
CL00351,Подольск,Московская область,161487,INTERNET
CL00352,Москва,Московская область,102490,INTERNET
CL00353,Химки,Московская область,171932,INTERNET
CL00354,Мытищи,Московская область,131147,INTERNET
CL00355,Мытищи,Москва и МО,155027,INTERNET
CL00356,Мытищи,Москва и МО,165513,VK
CL00357,Химки,Московская область,138177,INTERNET
CL00358,Москва,Московская область,131531,INTERNET
CL00359,Подольск,Московская область,111221,INTERNET
CL00360,Мытищи,Московская область,171313,VK
CL00361,Реутов,Московская область,105706,INTERNET
CL00362,Красногорск,Москва и МО,102128,INTERNET
CL00363,Мытищи,Москва и МО,196068,VK
CL00364,Красногорск,Москва и МО,146176,INTERNET
CL00365,Подольск,Московская область,189742,INTERNET
CL00366,Королёв,Московская область,117675,VK
CL00367,Королёв,Москва и МО,126422,VK
CL00368,Химки,Московская область,141365,INTERNET
CL00369,Реутов,Московская область,171176,INTERNET
CL00370,Люберцы,Москва и МО,184790,VK
CL00371,Люберцы,Москва и МО,106265,INTERNET
CL00372,Люберцы,Москва и МО,148237,INTERNET
CL00373,Реутов,Московская область,150678,INTERNET
CL00374,Подольск,Москва и МО,165211,INTERNET
CL00375,Люберцы,Московская область,195300,INTERNET
CL00376,Мытищи,Москва и МО,123652,INTERNET
CL00377,Красногорск,Москва и МО,142981,INTERNET
CL00378,Люберцы,Москва и МО,194065,INTERNET
CL00379,Подольск,Московская область,146077,INTERNET
CL00380,Москва,Московская область,146210,INTERNET
CL00381,Люберцы,Московская область,107518,VK
CL00382,Реутов,Москва и МО,198290,VK
CL00383,Москва,Москва и МО,179635,INTERNET
CL00384,Москва,Москва и МО,130932,INTERNET
CL00385,Красногорск,Москва и МО,174349,VK
CL00386,Подольск,Московская область,148623,INTERNET
CL00387,Королёв,Московская область,175225,VK
CL00388,Красногорск,Москва и МО,185139,INTERNET
CL00389,Химки,Московская область,103396,VK
CL00390,Королёв,Москва и МО,173619,VK
CL00391,Люберцы,Московская область,192279,INTERNET
CL00392,Химки,Московская область,137431,INTERNET
CL00393,Химки,Москва и МО,109706,INTERNET
CL00394,Подольск,Московская область,158341,VK
CL00395,Красногорск,Московская область,193000,VK
CL00396,Люберцы,Московская область,120644,VK
CL00397,Красногорск,Москва и МО,115907,VK
CL00398,Подольск,Москва и МО,164752,VK
CL00399,Красногорск,Москва и МО,148353,INTERNET
CL00400,Подольск,Московская область,111300,VK
CL00401,Люберцы,Москва и МО,193969,INTERNET
CL00402,Реутов,Московская область,175353,VK
CL00403,Подольск,Московская область,184192,VK
CL00404,Королёв,Москва и МО,167811,INTERNET
CL00405,Подольск,Московская область,172260,VK
CL00406,Подольск,Москва и МО,107263,VK
CL00407,Подольск,Москва и МО,121229,INTERNET
CL00408,Химки,Москва и МО,168012,INTERNET
CL00409,Мытищи,Москва и МО,183238,INTERNET
CL00410,Подольск,Московская область,180534,VK
CL00411,Подольск,Москва и МО,176106,VK
CL00412,Подольск,Московская область,194454,INTERNET
CL00413,Москва,Московская область,103718,VK
CL00414,Москва,Московская область,175598,INTERNET
CL00415,Химки,Московская область,154602,VK
CL00416,Королёв,Московская область,171509,INTERNET
CL00417,Люберцы,Москва и МО,189783,INTERNET
CL00418,Люберцы,Москва и МО,190257,VK
CL00419,Подольск,Москва и МО,163471,INTERNET
CL00420,Химки,Москва и МО,118830,INTERNET
CL00421,Красногорск,Московская область,145268,INTERNET
CL00422,Подольск,Московская область,167499,VK
CL00423,Красногорск,Москва и МО,116059,INTERNET
CL00424,Королёв,Москва и МО,112689,VK
CL00425,Люберцы,Московская область,180658,INTERNET
CL00426,Химки,Московская область,120932,INTERNET
CL00427,Красногорск,Москва и МО,120885,INTERNET
CL00428,Королёв,Москва и МО,140441,INTERNET
CL00429,Москва,Москва и МО,151543,INTERNET
CL00430,Химки,Москва и МО,146254,VK
CL00431,Москва,Москва и МО,178317,INTERNET
CL00432,Люберцы,Москва и МО,114089,INTERNET
CL00433,Подольск,Московская область,195355,INTERNET
CL00434,Реутов,Москва и МО,152505,VK
CL00435,Химки,Москва и МО,137827,VK
CL00436,Реутов,Москва и МО,172070,INTERNET
CL00437,Мытищи,Москва и МО,112672,INTERNET
CL00438,Красногорск,Московская область,144444,INTERNET
CL00439,Подольск,Москва и МО,166731,INTERNET
CL00440,Москва,Москва и МО,117961,INTERNET
CL00441,Королёв,Москва и МО,119521,VK
CL00442,Красногорск,Московская область,141750,VK
CL00443,Реутов,Московская область,196904,INTERNET
CL00444,Красногорск,Москва и МО,166809,INTERNET
CL00445,Люберцы,Москва и МО,102180,INTERNET
CL00446,Красногорск,Московская область,154596,INTERNET
CL00447,Москва,Москва и МО,134803,VK
CL00448,Москва,Москва и МО,122349,INTERNET
CL00449,Подольск,Московская область,131745,VK
CL00450,Мытищи,Москва и МО,157807,INTERNET
CL00451,Реутов,Москва и МО,190505,VK
CL00452,Реутов,Москва и МО,180147,INTERNET
CL00453,Москва,Московская область,167984,VK
CL00454,Красногорск,Московская область,162701,INTERNET
CL00455,Красногорск,Московская область,160249,INTERNET
CL00456,Красногорск,Московская область,194493,INTERNET
CL00457,Королёв,Москва и МО,132311,INTERNET
CL00458,Люберцы,Москва и МО,139008,INTERNET
CL00459,Химки,Московская область,164094,INTERNET
CL00460,Королёв,Москва и МО,194589,INTERNET
CL00461,Люберцы,Москва и МО,188686,INTERNET
CL00462,Реутов,Московская область,119198,INTERNET
CL00463,Москва,Москва и МО,193603,VK
CL00464,Красногорск,Московская область,185979,INTERNET
CL00465,Королёв,Москва и МО,170592,INTERNET
CL00466,Люберцы,Москва и МО,180698,VK
CL00467,Химки,Москва и МО,169604,VK
CL00468,Химки,Москва и МО,154172,INTERNET
CL00469,Королёв,Москва и МО,118018,VK
CL00470,Подольск,Москва и МО,162350,INTERNET
CL00471,Химки,Московская область,137649,INTERNET
CL00472,Люберцы,Московская область,111725,VK
CL00473,Москва,Московская область,122946,INTERNET
CL00474,Подольск,Московская область,104763,INTERNET
CL00475,Королёв,Москва и МО,198173,INTERNET
CL00476,Москва,Москва и МО,174443,VK
CL00477,Красногорск,Москва и МО,184058,INTERNET
CL00478,Подольск,Московская область,161344,INTERNET
CL00479,Химки,Московская область,143343,VK
CL00480,Королёв,Московская область,194188,VK
CL00481,Москва,Московская область,138669,VK
CL00482,Подольск,Московская область,183719,INTERNET
CL00483,Реутов,Москва и МО,111368,INTERNET
CL00484,Мытищи,Москва и МО,118430,INTERNET
CL00485,Красногорск,Московская область,100895,INTERNET
CL00486,Реутов,Москва и МО,198796,INTERNET
CL00487,Красногорск,Москва и МО,194749,VK
CL00488,Люберцы,Московская область,190802,VK
CL00489,Москва,Московская область,161000,INTERNET
CL00490,Подольск,Москва и МО,165866,INTERNET
CL00491,Мытищи,Московская область,138671,INTERNET
CL00492,Химки,Москва и МО,117507,INTERNET
CL00493,Подольск,Москва и МО,179395,INTERNET
CL00494,Реутов,Московская область,161712,VK
CL00495,Химки,Московская область,178094,VK
CL00496,Королёв,Москва и МО,147419,VK
CL00497,Мытищи,Москва и МО,171781,VK
CL00498,Подольск,Москва и МО,168202,INTERNET
CL00499,Мытищи,Московская область,193967,INTERNET
CL00500,Мытищи,Московская область,158390,VK
CL00501,Королёв,Москва и МО,154450,INTERNET
CL00502,Москва,Москва и МО,188181,INTERNET
CL00503,Москва,Москва и МО,100395,VK
CL00504,Мытищи,Москва и МО,145158,VK
CL00505,Москва,Московская область,109046,INTERNET
CL00506,Москва,Москва и МО,123590,VK
CL00507,Реутов,Москва и МО,150132,INTERNET
CL00508,Реутов,Москва и МО,189486,VK
CL00509,Красногорск,Москва и МО,170419,INTERNET
CL00510,Подольск,Московская область,129188,VK
CL00511,Москва,Московская область,160686,INTERNET
CL00512,Реутов,Московская область,132441,INTERNET
CL00513,Красногорск,Москва и МО,124704,VK
CL00514,Москва,Московская область,154950,VK
CL00515,Химки,Москва и МО,113224,VK
CL00516,Королёв,Москва и МО,192181,VK
CL00517,Химки,Московская область,152725,INTERNET
CL00518,Химки,Москва и МО,198878,VK
CL00519,Подольск,Москва и МО,137914,VK
CL00520,Красногорск,Москва и МО,188150,INTERNET
CL00521,Химки,Москва и МО,118777,VK
CL00522,Реутов,Москва и МО,107989,VK
CL00523,Реутов,Москва и МО,106145,INTERNET
CL00524,Реутов,Московская область,141777,INTERNET
CL00525,Реутов,Москва и МО,149343,VK
CL00526,Королёв,Москва и МО,129536,INTERNET
CL00527,Подольск,Московская область,107552,INTERNET
CL00528,Реутов,Москва и МО,117575,INTERNET
CL00529,Химки,Москва и МО,143288,VK
CL00530,Королёв,Московская область,112119,VK
CL00531,Москва,Москва и МО,188299,VK
CL00532,Мытищи,Москва и МО,199837,VK
CL00533,Королёв,Москва и МО,143642,INTERNET
CL00534,Москва,Москва и МО,124906,VK
CL00535,Королёв,Московская область,191177,VK
CL00536,Реутов,Московская область,172362,INTERNET
CL00537,Люберцы,Москва и МО,169946,INTERNET
CL00538,Люберцы,Москва и МО,167215,INTERNET
CL00539,Королёв,Москва и МО,194688,INTERNET
CL00540,Красногорск,Московская область,148589,INTERNET
CL00541,Реутов,Москва и МО,129002,VK
CL00542,Москва,Москва и МО,176550,INTERNET
CL00543,Люберцы,Москва и МО,143236,VK
CL00544,Реутов,Москва и МО,132208,INTERNET
CL00545,Красногорск,Москва и МО,164044,INTERNET
CL00546,Королёв,Москва и МО,146160,VK
CL00547,Подольск,Московская область,164004,VK
CL00548,Москва,Москва и МО,109742,VK
CL00549,Москва,Москва и МО,182667,VK
CL00550,Мытищи,Московская область,101198,VK
CL00551,Королёв,Москва и МО,180980,INTERNET
CL00552,Королёв,Москва и МО,169758,INTERNET
CL00553,Москва,Москва и МО,194659,INTERNET
CL00554,Люберцы,Москва и МО,191469,INTERNET
CL00555,Подольск,Москва и МО,112624,VK
CL00556,Химки,Москва и МО,169003,INTERNET
CL00557,Красногорск,Москва и МО,152022,VK
CL00558,Красногорск,Московская область,160161,VK
CL00559,Химки,Москва и МО,110566,VK
CL00560,Мытищи,Москва и МО,149436,INTERNET
CL00561,Москва,Московская область,192123,VK
CL00562,Мытищи,Москва и МО,156873,INTERNET
CL00563,Мытищи,Московская область,105577,VK
CL00564,Химки,Московская область,190739,INTERNET
CL00565,Люберцы,Москва и МО,109744,INTERNET
CL00566,Москва,Москва и МО,141220,VK
CL00567,Химки,Москва и МО,198599,INTERNET
CL00568,Мытищи,Москва и МО,173919,VK
CL00569,Реутов,Московская область,170852,INTERNET
CL00570,Реутов,Московская область,118343,VK
CL00571,Красногорск,Москва и МО,157290,VK
CL00572,Мытищи,Москва и МО,180460,INTERNET
CL00573,Красногорск,Москва и МО,135825,INTERNET
CL00574,Королёв,Москва и МО,172487,INTERNET
CL00575,Реутов,Москва и МО,176791,INTERNET
CL00576,Мытищи,Московская область,138715,VK
CL00577,Мытищи,Москва и МО,120214,INTERNET
CL00578,Подольск,Московская область,141507,INTERNET
CL00579,Мытищи,Москва и МО,140405,INTERNET
CL00580,Красногорск,Московская область,113399,VK
CL00581,Мытищи,Москва и МО,158830,INTERNET
CL00582,Мытищи,Москва и МО,146388,VK
