product_id,country,color,pattern,price_per_meter,cost_per_meter,active
P0095,Turkey,песочный,маленькие цветы,375.0,168.75,True
P0096,Turkey,молочный,полосы,375.0,168.75,True
P0097,Turkey,молочный,горох,375.0,168.75,True
P0098,Turkey,молочный,мишки,375.0,168.75,True
P0099,Turkey,молочный,пони,375.0,168.75,True
P0100,Turkey,молочный,большие цветы,375.0,168.75,True
P0101,Turkey,молочный,маленькие цветы,375.0,168.75,True
P0102,Turkey,голубой,однотон,375.0,168.75,True
P0103,Turkey,голубой,полосы,375.0,168.75,True
P0104,Turkey,голубой,горох,375.0,168.75,True
P0105,Turkey,голубой,мишки,375.0,168.75,True
P0106,Turkey,голубой,пони,375.0,168.75,True
P0107,Turkey,голубой,большие цветы,375.0,168.75,True
P0108,Turkey,голубой,маленькие цветы,375.0,168.75,True
P0109,Turkey,розовый,полосы,375.0,168.75,True
P0110,Turkey,розовый,горох,375.0,168.75,True
P0111,Turkey,розовый,мишки,375.0,168.75,True
P0112,Turkey,розовый,пони,375.0,168.75,True
P0113,Turkey,розовый,большие цветы,375.0,168.75,True
P0114,Turkey,розовый,маленькие цветы,375.0,168.75,True
P0115,Turkey,светло-серый,полосы,375.0,168.75,True
P0116,Turkey,светло-серый,горох,375.0,168.75,True
P0117,Turkey,светло-серый,мишки,375.0,168.75,True
P0118,Turkey,светло-серый,пони,375.0,168.75,True
P0119,Turkey,светло-серый,большие цветы,375.0,168.75,True
P0120,Turkey,светло-серый,маленькие цветы,375.0,168.75,True
